"R","gens","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
1.3,26,0.00147806900900866,0.00239827927514119,0.00330986681528243,0.00445202801874702,0.00557845261765143,0.00699864618016894,0.00837211732301867,0.0101127465236972,0.0117580901948857,0.0138190305927007,0.0157555558912007,0.0181498426834716,0.0202813307721089,0.0229172664788862,0.025089820105618,0.0277967494168888,0.0297866858401249,0.032357118902616,0.0339158516207326,0.0360373481321089,0.036648021719812,0.0383952670349613,0.0386436979853045,0.039720553576105,0.0389020116270123,0.0395588683899436,0.0379299716741636,0.0381583728046004,0.0361290663522291,0.0358874589180642,0.0333082683184719,0.0325204010819255,0.0291189353025047,0.0271296884899462,0.0222141124697876,0.0209784182812617,0.0177392339679115,0.0169099486103679,0.0142810801167753,0.0135261845666862,0.0113943075998472,0.0106594003893231,0.00854949763339874,0.00811740210093678,0.00686493429931301,0.00618826030322555,0.00444715407861965,0.00334665987820138,0.00132237773219538,0.000878434377189757,0.000106941505454227,6.01724204022449e-05
1.4,20,0.0015236924410888,0.00256041082021953,0.00357922277304859,0.00497666828604506,0.006322725067695,0.00815915869995737,0.00990508572277426,0.0122825028317257,0.014464986509441,0.0174262735852674,0.0199728209588469,0.0234380392741982,0.0262198615734222,0.0302036314510061,0.0329994086527283,0.0370708405472032,0.0394891699612641,0.0435462495933053,0.0450913994709134,0.0482784563704341,0.0478651925765192,0.0503702978317418,0.0486948328171775,0.0504232854637814,0.0470260724631129,0.0478113629198543,0.0428733331570653,0.0424218281998298,0.0358619864747256,0.0345866345323999,0.02712764296077,0.0250613082229438,0.0176604352723624,0.01635739428056,0.0115498121080391,0.0102161050208938,0.00623762696848328,0.00533068445211053,0.00298160919824421,0.00203195048880066,0,0,0,0,0,0,0,0,0,0,0,0
1.5,17,0.00148033828291387,0.002561925471717,0.00362473422967266,0.00518771441765249,0.00670984311387052,0.00892479745367167,0.0110088238669899,0.0140197963706821,0.016730674180895,0.0206979706935019,0.0240350131191233,0.0288745749485969,0.0324435862258634,0.0379802048491955,0.0413242015376985,0.0469416442563584,0.0489656541323146,0.0540850145814155,0.0545418899618003,0.0588745638304211,0.0558637738281028,0.0593816270886463,0.0542142999955328,0.0557046062153326,0.0467753999126793,0.0472798649276594,0.0377878171836959,0.0363578180626561,0.0250284977696447,0.0237614579675527,0.0155596252988409,0.0134573631561294,0.00563397350100701,0.00418090956816547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6,14,0.00153237513027548,0.00273489586648071,0.00391976851768964,0.00577994459196448,0.00759597947979354,0.0104240616295977,0.0130871586543006,0.0172188639935079,0.0208746742887111,0.0266057655456722,0.0311060332122897,0.0382672685477973,0.0429023627897397,0.0511645070407759,0.0548202973607839,0.0638442356327644,0.0660304148834668,0.0744094000440321,0.070687773478026,0.0760709767346524,0.0644631930250917,0.0672180081562677,0.0517707502213317,0.0508682469300637,0.0318083650720376,0.0294731768573884,0.0141638476455983,0.0111576546698993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7,13,0.00149709698716741,0.00274763763388775,0.0039818833861392,0.00604043554936516,0.00802360959432357,0.0113144844987834,0.0143739452180057,0.0194250440769335,0.0237333732593826,0.0308873940695105,0.0360839479875152,0.0452069897661392,0.0500916085269368,0.0600989489677438,0.0629395012995579,0.0739478214531056,0.0721047212384283,0.08189545343359,0.0725634527593443,0.0791894051378887,0.0616756009740753,0.0643550384262875,0.0426783530234274,0.0413956726541776,0.0184343874288874,0.0153141926493962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,11,0.000625927075341509,0.00118080048582128,0.00174315440762324,0.00273486508982034,0.00373825130697647,0.00549789789848615,0.0072748022545033,0.010390629628773,0.0134937641378298,0.0188555791338545,0.0239415202698297,0.032632318813239,0.0404181197863835,0.0540885591303445,0.0647926146413604,0.0842770609143268,0.0951689715881543,0.117197095807694,0.117291951694347,0.129542481781783,0.0938639269760426,0.0812497071774661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9,10,0.000747443718205397,0.00144773752853157,0.00215354199991338,0.0034707917127832,0.00479055646433495,0.00724628833966904,0.009665902649599,0.0141731658084387,0.0184853340291559,0.0264082636035185,0.0333512672185788,0.0465466804751186,0.0572113409692013,0.0779268947731366,0.0908081624969511,0.118003976755782,0.12348980701515,0.145690882862835,0.113829915255295,0.104552046323802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.00105766995172505,0.00210440494852865,0.00315883976026199,0.00524033882715265,0.00731244508310106,0.0113715452420529,0.0153086833495584,0.022943639174935,0.0297479982523592,0.0429601055104195,0.0536276152254881,0.0757579193053198,0.0895437313860575,0.120388355764626,0.125682532410225,0.154577307018381,0.120739968226872,0.118476900562935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,9,0.000678321112591902,0.001378715922606,0.00208869291011298,0.00354393962764595,0.00500857668956355,0.00800690769943968,0.010983262444915,0.0170453459995715,0.0228066075649408,0.0344597072463672,0.044779844717976,0.0661852528376119,0.0822912933301986,0.116339024191011,0.129777699240949,0.168037332612387,0.142485585306719,0.144103890545394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,8,0.00116335332743141,0.00243046711421799,0.00369802130001568,0.00645471066083849,0.00917561632474937,0.0150359283082113,0.0205784408038819,0.0325124018175237,0.0424845804018976,0.0646655555498391,0.0800617823613176,0.117168166101831,0.130202827297277,0.174930167762953,0.143958151916742,0.155479828951272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
